Question_Num,Single_Layer_rouge_1_f1,Single_Layer_rouge_2_f1,Single_Layer_rouge_l_f1,Single_Layer_bert_p,Single_Layer_bert_r,Single_Layer_bert_f1,Single_Layer_bert_similarity,Single_Layer_sorensen,Single_Layer_jaccard,Single_Layer_tfidf,Double_Layer_rouge_1_f1,Double_Layer_rouge_2_f1,Double_Layer_rouge_l_f1,Double_Layer_bert_p,Double_Layer_bert_r,Double_Layer_bert_f1,Double_Layer_bert_similarity,Double_Layer_sorensen,Double_Layer_jaccard,Double_Layer_tfidf,Triple_Layer_rouge_1_f1,Triple_Layer_rouge_2_f1,Triple_Layer_rouge_l_f1,Triple_Layer_bert_p,Triple_Layer_bert_r,Triple_Layer_bert_f1,Triple_Layer_bert_similarity,Triple_Layer_sorensen,Triple_Layer_jaccard,Triple_Layer_tfidf
1,0.928357,0.516094,0.868547,0.612244,0.667247,0.766475,0.939597,0.900734,0.824173,0.674836,0.784212,0.902134,0.879264,0.600272,0.789048,0.860903,0.864411,0.751223,0.826102,0.733174,0.869447,0.840062,0.708222,0.941199,0.854456,0.919516,0.886134,0.918482,0.909587,0.912492
2,0.524331,0.825178,0.657186,0.853342,0.586776,0.410003,0.922975,0.519991,0.546193,0.643087,0.875897,0.573206,0.902033,0.645524,0.807803,0.928437,0.821949,0.934363,0.741087,0.736291,0.902458,0.911537,0.789427,0.809291,0.907619,0.865829,0.924121,0.834234,0.689732,0.911614
3,0.529351,0.910328,0.681689,0.911081,0.762155,0.669097,0.446734,0.464878,0.642467,0.682384,0.780334,0.727749,0.780293,0.919429,0.890824,0.953454,0.552776,0.949629,0.551054,0.717909,0.886887,0.892672,0.891949,0.900477,0.920692,0.917607,0.935161,0.834505,0.889705,0.838665
4,0.556962,0.835426,0.617071,0.801564,0.607649,0.632043,0.899408,0.684511,0.781739,0.726151,0.741528,0.789755,0.750741,0.950249,0.749485,0.631685,0.916977,0.814097,0.893246,0.743549,0.845645,0.878123,0.693782,0.934528,0.733874,0.745445,0.881933,0.925739,0.718718,0.851865
5,0.564993,0.586799,0.685298,0.680221,0.919374,0.637672,0.624067,0.430303,0.717233,0.638292,0.950819,0.903431,0.678967,0.888143,0.719092,0.710978,0.909199,0.500527,0.656022,0.766162,0.895897,0.924648,0.824435,0.820557,0.903289,0.861012,0.848407,0.729647,0.777149,0.895451
6,0.553772,0.910181,0.638993,0.685029,0.536849,0.776423,0.720665,0.537604,0.874326,0.638293,0.880137,0.887438,0.828635,0.937215,0.915764,0.892536,0.908726,0.522244,0.660709,0.825447,0.905227,0.783936,0.835155,0.912788,0.870796,0.791476,0.878853,0.919943,0.817113,0.895414
7,0.791029,0.912247,0.631344,0.874028,0.667193,0.504678,0.882547,0.786309,0.856121,0.728961,0.871783,0.654786,0.547161,0.827488,0.920907,0.588777,0.874177,0.946065,0.893352,0.756983,0.920541,0.930078,0.921103,0.901112,0.741473,0.715659,0.923938,0.819645,0.914574,0.895451
8,0.710301,0.812726,0.641418,0.544294,0.921115,0.943209,0.854521,0.612223,0.915849,0.688372,0.492973,0.935799,0.905616,0.860334,0.628678,0.731693,0.886885,0.816093,0.910102,0.760302,0.705929,0.931992,0.917714,0.905183,0.675131,0.910382,0.944708,0.788238,0.944493,0.995582
9,0.840916,0.908547,0.769565,0.524353,0.766809,0.520612,0.715836,0.581777,0.847472,0.626526,0.920046,0.817567,0.582031,0.806615,0.844292,0.908443,0.871441,0.775706,0.678852,0.747022,0.908788,0.855346,0.894199,0.932809,0.878434,0.710219,0.919825,0.929086,0.908545,0.897127
10,0.863067,0.801129,0.733377,0.891231,0.784558,0.844854,0.567957,0.876593,0.773692,0.677128,0.635985,0.943346,0.889879,0.922406,0.481048,0.709717,0.646154,0.768473,0.468832,0.673249,0.682205,0.899524,0.898704,0.798734,0.917212,0.896278,0.912428,0.914767,0.913503,0.914067
11,0.527299,0.719288,0.711976,0.826314,0.513135,0.538829,0.816373,0.699953,0.942455,0.626829,0.699994,0.931137,0.911956,0.899985,0.596447,0.883085,0.789013,0.611954,0.928991,0.748939,0.934818,0.821797,0.886549,0.939168,0.919699,0.898156,0.934763,0.903876,0.888934,0.908619
12,0.923904,0.800739,0.799786,0.569613,0.831721,0.791458,0.679618,0.871566,0.559588,0.626714,0.841175,0.735067,0.491325,0.874215,0.956262,0.485002,0.647995,0.912485,0.777964,0.752409,0.905356,0.872414,0.715186,0.713427,0.735088,0.910007,0.755708,0.941571,0.870973,0.899542
13,0.682434,0.814632,0.945394,0.937341,0.895774,0.789304,0.576004,0.928923,0.589365,0.662098,0.957984,0.810483,0.752697,0.851794,0.717576,0.676206,0.896171,0.887676,0.924772,0.848537,0.908233,0.907665,0.845493,0.831919,0.939555,0.874524,0.845669,0.937419,0.789164,0.870542
14,0.525435,0.698539,0.464073,0.509078,0.519387,0.867719,0.837591,0.691589,0.699767,0.654336,0.537414,0.940783,0.762778,0.621267,0.645801,0.883127,0.877397,0.877194,0.910886,0.742306,0.933841,0.863679,0.873919,0.826211,0.917057,0.904677,0.920168,0.790232,0.875661,0.902769
15,0.745736,0.761228,0.931118,0.517291,0.537847,0.906016,0.830545,0.597064,0.596163,0.563754,0.911004,0.814077,0.476499,0.911038,0.678663,0.883606,0.851283,0.870677,0.923844,0.762062,0.725069,0.822268,0.795111,0.853416,0.866036,0.811199,0.880206,0.922749,0.828501,0.856815
16,0.837373,0.839061,0.655041,0.741285,0.550005,0.499343,0.731655,0.673252,0.937055,0.621886,0.841585,0.806768,0.932418,0.657073,0.697072,0.919058,0.795137,0.880601,0.956478,0.748612,0.680433,0.913121,0.933267,0.922314,0.934131,0.832728,0.906699,0.938224,0.856546,0.872895
17,0.589685,0.738529,0.791189,0.928205,0.937598,0.479602,0.804463,0.920543,0.481192,0.599358,0.792275,0.705276,0.820126,0.476096,0.612604,0.814027,0.796504,0.902782,0.712645,0.703253,0.864046,0.945525,0.937233,0.942232,0.668968,0.900707,0.748453,0.881383,0.732326,0.865439
18,0.733695,0.457752,0.757932,0.608674,0.942542,0.458771,0.486485,0.929873,0.587519,0.665712,0.725007,0.911058,0.911313,0.633835,0.869078,0.862809,0.657696,0.765533,0.755517,0.795713,0.836799,0.871035,0.947888,0.936286,0.675389,0.914089,0.905259,0.724496,0.876693,0.882456
19,0.900181,0.642656,0.698915,0.565127,0.870827,0.484707,0.664005,0.861069,0.522262,0.604599,0.836333,0.897114,0.939566,0.820674,0.841005,0.625519,0.878559,0.940962,0.865397,0.780077,0.783918,0.940367,0.917219,0.931487,0.897977,0.805811,0.925471,0.925754,0.829661,0.949439
20,0.857384,0.605829,0.852526,0.868621,0.597261,0.709944,0.502387,0.532255,0.437512,0.579385,0.881718,0.954553,0.794372,0.609164,0.887641,0.864239,0.743528,0.902844,0.720813,0.781641,0.668542,0.712126,0.945977,0.897634,0.936568,0.790368,0.854964,0.805078,0.665568,0.823982
21,0.890636,0.754247,0.470706,0.880418,0.805385,0.841285,0.468198,0.692578,0.844614,0.723282,0.956043,0.471229,0.887435,0.943448,0.930316,0.902727,0.894326,0.507226,0.590806,0.713625,0.917735,0.840402,0.913381,0.847642,0.888849,0.944028,0.798931,0.946563,0.931963,0.900588
22,0.448954,0.762072,0.651297,0.907893,0.896585,0.472082,0.848248,0.938018,0.850723,0.638711,0.883832,0.914445,0.600606,0.716584,0.624345,0.944006,0.609402,0.813148,0.953653,0.806112,0.926261,0.887005,0.939426,0.742702,0.919462,0.903223,0.891925,0.874898,0.780252,0.831619
23,0.736492,0.640717,0.926423,0.917034,0.753041,0.604142,0.866853,0.462872,0.611809,0.653376,0.853722,0.923419,0.480865,0.910433,0.929271,0.947392,0.917009,0.895588,0.794338,0.693926,0.940382,0.931854,0.783129,0.820508,0.717814,0.908485,0.842217,0.774981,0.893685,0.865842
24,0.746483,0.920271,0.572808,0.943778,0.641959,0.859095,0.904285,0.683302,0.490161,0.578763,0.639051,0.911334,0.946613,0.849008,0.788748,0.918282,0.613017,0.923061,0.540395,0.773474,0.896826,0.656371,0.914807,0.913427,0.907419,0.783293,0.727983,0.892304,0.862779,0.912669
25,0.799754,0.453196,0.897777,0.571807,0.919707,0.800916,0.836228,0.778031,0.797054,0.622781,0.527658,0.494189,0.891262,0.597871,0.632401,0.832057,0.570384,0.736276,0.943617,0.837618,0.688725,0.707307,0.928733,0.675252,0.943343,0.718725,0.726133,0.929396,0.846336,0.881928
26,0.850083,0.564541,0.728566,0.946267,0.579821,0.507034,0.863461,0.701377,0.540132,0.655546,0.860391,0.914365,0.931694,0.835694,0.781297,0.933799,0.951302,0.770958,0.901169,0.710379,0.762393,0.707992,0.945532,0.949293,0.915557,0.669194,0.653065,0.902004,0.781782,0.847668
27,0.519137,0.753587,0.859988,0.687427,0.405363,0.864892,0.914264,0.525666,0.776563,0.592445,0.727639,0.746035,0.705981,0.958578,0.484924,0.938897,0.541483,0.508425,0.904945,0.727348,0.911499,0.896109,0.929627,0.901332,0.702587,0.821746,0.904356,0.836716,0.911744,0.858541
28,0.666763,0.834866,0.454959,0.502325,0.653475,0.486325,0.437053,0.590643,0.480665,0.668785,0.898583,0.704492,0.483999,0.641418,0.484592,0.706049,0.919987,0.852914,0.942055,0.753986,0.935193,0.857451,0.941683,0.935777,0.873104,0.860407,0.829225,0.721889,0.902883,0.900388
29,0.565062,0.895805,0.499498,0.659359,0.930202,0.866226,0.883547,0.458578,0.475949,0.619968,0.554498,0.857009,0.719374,0.789675,0.928914,0.930418,0.892252,0.737803,0.507505,0.729861,0.902704,0.784405,0.939854,0.943699,0.933746,0.776823,0.794449,0.742793,0.945663,0.858089
30,0.719665,0.731649,0.728815,0.565196,0.637137,0.588918,0.901224,0.508075,0.644471,0.635415,0.924864,0.745791,0.800338,0.779666,0.752198,0.727105,0.891661,0.793785,0.835845,0.687973,0.919262,0.932163,0.911576,0.913017,0.899567,0.804941,0.927754,0.878662,0.737565,0.886494
31,0.648779,0.542389,0.560138,0.596128,0.935255,0.504798,0.651409,0.633234,0.583835,0.619915,0.958597,0.910644,0.680389,0.932138,0.670207,0.770925,0.812329,0.887158,0.905603,0.752743,0.939296,0.944368,0.762446,0.839746,0.801446,0.886589,0.796783,0.732655,0.910995,0.881367
32,0.861925,0.484946,0.786614,0.667534,0.869584,0.945249,0.882344,0.561662,0.939253,0.742614,0.942965,0.671731,0.925558,0.721253,0.782056,0.768957,0.734545,0.938062,0.894583,0.707508,0.784736,0.709494,0.683897,0.874721,0.703594,0.930177,0.933765,0.831526,0.824477,0.860452
33,0.751118,0.806867,0.823321,0.489504,0.712507,0.470986,0.468379,0.821327,0.455036,0.649325,0.880259,0.919831,0.730428,0.692383,0.869421,0.524075,0.844424,0.956236,0.896502,0.768944,0.778954,0.920343,0.907776,0.900349,0.849244,0.940171,0.896513,0.909413,0.829252,0.944318
34,0.849789,0.948422,0.938344,0.575471,0.836657,0.495425,0.729006,0.747532,0.880558,0.697114,0.933889,0.721991,0.754024,0.932992,0.943727,0.812221,0.910806,0.483443,0.877584,0.713223,0.768523,0.947173,0.876849,0.827189,0.908073,0.899023,0.868274,0.896796,0.909084,0.899018
